Date	Open	High	Low	Close	Volume
2018/8/2	9.7	9.74	9.33	9.39	4757629
2018/8/3	9.41	9.6	9.37	9.43	2715123
2018/8/6	9.42	9.47	9.3	9.4	2206397
2018/8/7	9.41	9.62	9.4	9.58	3387316
2018/8/8	9.54	9.68	9.53	9.57	2677107
2018/8/9	9.53	9.99	9.51	9.84	4381821
2018/8/10	9.8	9.87	9.75	9.81	1742753
2018/8/13	9.67	9.78	9.55	9.7	2567879
2018/8/14	9.68	9.79	9.65	9.7	2306700
2018/8/15	9.7	9.71	9.5	9.53	1757551
2018/8/16	9.49	9.7	9.42	9.58	2588978
2018/8/17	9.67	9.69	9.32	9.4	3285898
2018/8/20	9.38	9.52	9.29	9.44	2153310
2018/8/21	9.47	9.64	9.41	9.6	2679799
2018/8/22	9.59	9.59	9.45	9.49	1462662
2018/8/23	9.52	9.56	9.44	9.52	1608259
2018/8/24	9.56	9.57	9.3	9.41	3374330
2018/8/27	9.42	9.56	9.35	9.5	3950500
2018/8/28	9.54	9.6	9.51	9.58	2552193
2018/8/29	9.58	9.65	9.41	9.46	2400041
2018/8/30	9.43	9.51	9.42	9.47	2188201
2018/8/31	9.47	9.52	9.37	9.5	2298966
2018/9/3	9.5	9.52	9.35	9.51	2366746
2018/9/4	9.51	9.72	9.45	9.67	3438477
2018/9/5	9.67	9.76	9.62	9.62	2667460
2018/9/6	9.57	9.72	9.49	9.68	3002069
2018/9/7	9.65	9.81	9.59	9.67	2668701
2018/9/10	9.67	9.7	9.38	9.5	2317053
2018/9/11	9.41	9.6	9.4	9.51	1664899
2018/9/12	9.56	9.7	9.51	9.63	2441802
2018/9/13	9.63	9.77	9.63	9.7	2042466
2018/9/14	9.7	9.78	9.63	9.65	2040878
2018/9/17	9.63	9.7	9.61	9.7	2462200
2018/9/18	9.66	9.92	9.61	9.9	3663068
2018/9/19	9.9	9.94	9.79	9.89	4258872
2018/9/20	9.86	9.86	9.75	9.8	2658258
2018/9/21	9.8	9.98	9.75	9.96	4030160
2018/9/25	9.91	9.93	9.81	9.84	2418589
2018/9/26	9.82	9.92	9.78	9.84	3193562
2018/9/27	9.83	9.88	9.68	9.68	2928570
2018/9/28	9.68	9.95	9.63	9.87	4340918
2018/10/8	9.8	9.9	9.62	9.64	2945499
2018/10/9	9.65	9.72	9.44	9.52	2693419
2018/10/10	9.47	9.59	9.35	9.4	2497723
2018/10/11	9.08	9.17	8.46	8.46	6596700
2018/10/12	8.28	8.66	8.18	8.55	4038472
2018/10/15	8.6	8.6	8.36	8.42	2568300
2018/10/16	8.46	8.52	8.12	8.16	3158726
2018/10/17	8.28	8.32	8.08	8.23	2588489
2018/10/18	8.23	8.31	8.06	8.16	4470342
2018/10/19	8.16	8.44	8.11	8.38	3410926
2018/10/22	8.47	8.87	8.4	8.73	4841210
2018/10/23	8.75	8.75	8.47	8.51	2766038
2018/10/24	8.51	8.69	8.47	8.54	1998116
2018/10/25	8.38	8.66	8.31	8.61	2440088
2018/10/26	8.62	8.73	8.61	8.67	1813130
2018/10/29	8.68	8.74	8.56	8.59	1938800
2018/10/30	8.55	8.73	8.51	8.65	2447735
2018/10/31	8.66	8.77	8.64	8.73	2550122
2018/11/1	8.78	9.15	8.78	8.99	5767977
2018/11/2	9.02	9.23	9	9.19	5310118
2018/11/5	9.27	9.27	8.95	9.09	4313302
2018/11/6	9.06	9.13	8.97	9.12	2817487
2018/11/7	9.12	9.19	8.98	9	3289879
2018/11/8	9.05	9.07	8.97	8.99	2041669
2018/11/9	9.07	9.07	8.84	8.9	3105459
2018/11/12	8.9	9.17	8.9	9.14	4861112
2018/11/13	9.11	9.39	9.08	9.29	6352574
2018/11/14	9.29	9.42	9.26	9.32	4395607
2018/11/15	9.26	9.44	9.26	9.43	3609598
2018/11/16	9.41	9.68	9.36	9.54	5129578
2018/11/19	9.55	9.56	9.31	9.41	4936626
2018/11/20	9.34	9.39	9.11	9.15	4873296
2018/11/21	9.08	9.22	9.07	9.16	3967912
2018/11/22	9.19	9.26	9.15	9.22	3806916
2018/11/23	9.2	9.25	8.88	9	5526031
2018/11/26	9	9.03	8.8	8.83	2610168
2018/11/27	8.89	9.24	8.85	8.97	3523675
2018/11/28	8.97	8.97	8.97	8.97	0
2018/11/29	10.17	10.6	9.65	9.66	29804577
2018/11/30	9.51	9.54	9.1	9.38	19050285
2018/12/3	9.51	9.79	9.38	9.57	17581436
2018/12/4	9.48	9.51	9.36	9.43	8018492
2018/12/5	9.25	9.43	9.2	9.33	5272213
2018/12/6	9.23	9.27	8.98	9.02	6739660
2018/12/7	9.01	9.09	8.98	9.01	3868570
2018/12/10	8.96	9.13	8.94	9.04	3226426
2018/12/11	9.08	9.4	9.02	9.27	7595460
2018/12/12	9.2	9.24	8.92	8.93	10623951
2018/12/13	8.96	9.01	8.88	8.95	6927330
2018/12/14	8.96	8.97	8.78	8.81	7026568
2018/12/17	8.75	8.85	8.7	8.77	4208717
2018/12/18	8.74	8.77	8.55	8.58	5697032
2018/12/19	8.62	8.65	8.43	8.44	4050125
2018/12/20	8.45	8.54	8.41	8.49	3607513
2018/12/21	8.48	8.55	8.45	8.52	3375748
2018/12/24	8.47	8.73	8.46	8.7	4820890
2018/12/25	8.65	8.65	8.23	8.54	5496683
2018/12/26	8.5	8.85	8.46	8.71	6546915
2018/12/27	8.78	8.81	8.56	8.57	4819592
2018/12/28	8.57	8.72	8.54	8.59	3088690
2019/1/2	8.6	8.73	8.58	8.65	3046231
2019/1/3	8.59	8.76	8.59	8.69	3006400
2019/1/4	8.62	8.9	8.58	8.89	5296201
2019/1/7	8.62	9.25	8.58	9.14	8851260
2019/1/8	9.09	9.27	9.04	9.15	5004457
2019/1/9	9.35	9.46	9.17	9.2	11440603
2019/1/10	9.2	9.31	9.14	9.16	5587242
2019/1/11	9.16	9.34	9.16	9.22	3402445
2019/1/14	9.23	9.31	9.2	9.23	3015643
2019/1/15	9.2	9.3	9.08	9.28	6562872
2019/1/16	9.27	9.38	9.09	9.17	4399343
2019/1/17	9.17	9.25	9.11	9.15	3655728
2019/1/18	9.15	9.24	9.11	9.19	3261022
2019/1/21	9.19	9.32	9.19	9.23	3140829
2019/1/22	9.2	9.25	9.08	9.1	5503293
2019/1/23	9.08	9.25	9.07	9.19	3542267
2019/1/24	9.16	9.27	9.09	9.2	2917139
2019/1/25	9.23	9.46	9.18	9.33	6268035
2019/1/28	9.4	9.46	9.15	9.17	5014861
2019/1/29	9.15	9.3	9.03	9.25	5086351
2019/1/30	9.22	9.22	9.08	9.09	3396300
2019/1/31	9.11	9.13	8.74	8.75	5613579
2019/2/1	8.8	9	8.77	8.96	4903761
2019/2/11	8.97	9.1	8.94	9.1	4821730
2019/2/12	9.1	9.23	9.09	9.19	6058739
2019/2/13	9.2	9.38	9.16	9.35	8254766
2019/2/14	9.32	9.53	9.3	9.46	8654893
2019/2/15	9.41	9.52	9.35	9.38	5999417
2019/2/18	9.4	9.63	9.4	9.62	7568552
2019/2/19	9.65	9.75	9.46	9.54	8897972
2019/2/20	9.56	10.26	9.48	10	14187752
2019/2/21	9.9	10.08	9.68	9.77	13434197
2019/2/22	9.72	10.19	9.71	10.13	12470471
2019/2/25	10.25	10.8	10.25	10.7	20433587
2019/2/26	10.7	11.16	10.49	10.61	15492325
2019/2/27	10.52	11.18	10.52	10.77	14156996
2019/2/28	10.79	10.85	10.58	10.69	8689584
2019/3/1	10.7	10.75	10.42	10.65	9043721
2019/3/4	11.4	11.72	10.9	11.72	30678433
2019/3/5	11.78	12.13	11.6	11.87	33312129
2019/3/6	11.76	11.76	11.38	11.58	29530119
2019/3/7	11.55	12.1	11.4	11.79	31211107
2019/3/8	11.5	11.66	11.12	11.14	21025930
2019/3/11	11.1	11.59	11.1	11.56	14766354
2019/3/12	11.6	12.59	11.6	12.05	33141009
2019/3/13	12.03	12.21	11.51	11.65	21777309
2019/3/14	11.52	11.68	10.88	11.18	15886472
2019/3/15	11.22	11.44	11.13	11.23	10504869
2019/3/18	11.24	11.51	11.15	11.5	9407100
2019/3/19	11.49	11.94	11.38	11.92	22402068
2019/3/20	11.8	11.9	11.51	11.77	16714141
2019/3/21	11.77	11.77	11.77	11.77	0
2019/3/22	13.3	14.14	12.99	13.48	70015966
2019/3/25	13	13.15	12.48	12.54	39017551
2019/3/26	12.6	12.65	11.81	11.91	28225713
2019/3/27	11.91	12.05	11.71	11.89	15788624
2019/3/28	11.84	11.99	11.49	11.49	17132505
2019/3/29	11.47	11.85	11.35	11.84	14223302
2019/4/1	11.88	12.34	11.86	12.29	19179137
2019/4/2	12.32	12.43	11.92	12.14	23826907
2019/4/3	12.03	12.29	12	12.25	14748302
2019/4/4	12.32	12.36	12.14	12.29	15614502
2019/4/8	12.38	12.42	11.89	12.04	14600012
2019/4/9	11.92	12.38	11.92	12.15	13584506
2019/4/10	12.06	12.08	11.85	11.91	13827277
2019/4/11	11.91	11.94	11.57	11.6	11256737
2019/4/12	11.6	11.69	11.5	11.6	6169077
2019/4/15	11.71	11.9	11.46	11.48	7989812
2019/4/16	11.48	11.79	11.2	11.79	10257688
2019/4/17	11.82	12.05	11.82	11.91	10725044
2019/4/18	11.91	11.95	11.74	11.78	6602675
2019/4/19	11.75	11.89	11.62	11.8	6205501
2019/4/22	11.87	12.08	11.58	11.62	13702094
2019/4/23	11.56	12.08	11.56	11.77	15202603
2019/4/24	11.79	11.81	11.31	11.54	12165224
2019/4/25	11.49	11.67	11.18	11.2	12267743
2019/4/26	11.18	11.32	11.07	11.1	8709040
2019/5/6	10.65	10.75	9.94	10.09	13131719
2019/5/7	10.13	10.48	10.13	10.38	9818544
2019/5/8	10.05	10.59	10.04	10.38	6846770
2019/5/9	10.27	10.83	10.27	10.61	8163515
2019/5/10	10.68	11.07	10.32	10.88	9314735
2019/5/13	10.68	10.86	10.6	10.81	6183387
2019/5/14	10.65	11.17	10.54	10.81	9061407
2019/5/15	11.05	11.23	10.88	10.99	12805330
2019/5/16	10.98	10.98	10.71	10.85	8101991
2019/5/17	10.82	10.89	10.32	10.36	8754735
2019/5/20	10.25	10.62	10.13	10.57	6458034
2019/5/21	10.46	10.74	10.46	10.52	7468664
2019/5/22	10.56	10.64	10.28	10.43	8276352
2019/5/23	10.37	10.4	10.1	10.15	5680896
2019/5/24	10.11	10.26	10.11	10.18	3500338
2019/5/27	10.2	10.44	10.14	10.41	6205664
2019/5/28	10.41	10.62	10.39	10.45	9507508
2019/5/29	10.41	10.64	10.35	10.47	6697652
2019/5/30	10.48	10.57	10.17	10.24	7000290
2019/5/31	10.27	10.39	10.21	10.28	6574455
2019/6/3	10.25	10.4	10	10.32	10079078
2019/6/4	10.35	10.58	10.25	10.33	9542511
