Date,Open,High,Low,Close
2018/5/11,27.84,27.84,27.16,27.200001
2018/5/14,27.209999,27.66,27.059999,27.52
2018/5/15,27.75,27.75,27.34,27.6
2018/5/16,27.610001,27.719999,26.68,26.709999
2018/5/17,26.65,27.1,26.34,27.07
2018/5/18,26.85,27.219999,26.809999,26.940001
2018/5/21,27.209999,27.34,26.83,27
2018/5/22,26.99,27.040001,26.719999,27.030001
2018/5/23,27.02,27.690001,26.85,27.4
2018/5/24,27.43,27.75,27.18,27.68
2018/5/25,27.719999,28.879999,27.370001,28.17
2018/5/28,28,28.18,27.01,27.299999
2018/5/29,27.5,27.610001,27.17,27.190001
2018/5/30,26.879999,26.879999,25.610001,25.68
2018/5/31,26,26.450001,25.73,26.35
2018/6/1,26.200001,26.66,26.049999,26.209999
2018/6/4,26.25,26.49,25.83,26.209999
2018/6/5,26.1,26.559999,26.1,26.540001
2018/6/6,26.540001,26.58,26.040001,26.17
2018/6/7,26.15,26.35,25.42,25.49
2018/6/8,25.51,25.73,25.1,25.4
2018/6/11,25.6,25.709999,25.16,25.6
2018/6/12,25.59,26.129999,25.299999,26.110001
2018/6/13,26,26.15,25.280001,25.34
2018/6/14,25.200001,25.610001,25.129999,25.360001
2018/6/15,25.299999,25.48,24.120001,24.16
2018/6/19,24.139999,24.139999,21.74,22.02
2018/6/20,22.15,22.84,22.030001,22.559999
2018/6/21,22.76,22.84,22.110001,22.129999
2018/6/22,22.129999,22.6,21.91,22.6
2018/6/25,22.610001,23.280001,22.540001,22.610001
2018/6/26,22.16,22.959999,22.15,22.9
2018/6/27,23.01,23.32,22.93,23.02
2018/6/28,22.879999,23.25,22.799999,22.9
2018/6/29,22.76,23.58,22.76,23.459999
2018/7/2,23.57,23.9,23.120001,23.49
2018/7/3,23.49,23.950001,23.200001,23.940001
2018/7/4,23.75,23.9,23.209999,23.299999
2018/7/5,22.6,22.76,22.07,22.08
2018/7/6,22,22.43,21.77,22.120001
2018/7/9,22.200001,22.700001,22.200001,22.57
2018/7/10,22.48,23,22.48,22.950001
2018/7/11,22.92,22.92,22.059999,22.24
2018/7/12,22.049999,23.049999,21.82,22.879999
2018/7/13,22.870001,23.23,22.809999,23.01
2018/7/16,23.110001,23.42,22.93,23.34
2018/7/17,23.25,23.440001,23.07,23.32
2018/7/18,23.4,23.42,22.67,22.700001
2018/7/19,22.75,22.950001,22.639999,22.700001
2018/7/20,22.700001,23.110001,22.58,23.09
2018/7/23,23.26,23.469999,23.1,23.32
2018/7/24,23.469999,23.57,23.33,23.440001
2018/7/25,23.530001,23.67,23.360001,23.559999
2018/7/26,23.42,23.68,23.219999,23.299999
2018/7/27,23.299999,23.9,23.02,23.440001
2018/7/30,23.35,23.450001,22.780001,22.809999
2018/7/31,22.709999,22.99,22.709999,22.9
2018/8/1,22.91,23.049999,22.719999,22.76
2018/8/2,22.99,22.99,21.790001,22.110001
2018/8/3,22.120001,22.459999,21.4,21.440001
2018/8/6,21.309999,21.48,21.02,21.129999
2018/8/7,21.1,21.549999,20.870001,21.52
2018/8/8,21.41,21.700001,21.1,21.290001
2018/8/9,21.290001,21.68,21.16,21.58
2018/8/10,21.530001,21.68,21.33,21.59
2018/8/13,21.32,21.59,21.25,21.57
2018/8/14,21.48,21.559999,21.4,21.49
2018/8/15,21.4,21.51,21.07,21.16
2018/8/16,21,21.120001,20.719999,20.92
2018/8/17,21.209999,21.219999,20.82,20.879999
2018/8/20,20.879999,21.15,20.610001,20.940001
2018/8/21,20.870001,20.950001,20.4,20.700001
2018/8/22,20.83,20.83,20.58,20.67
2018/8/23,20.6,20.67,20.15,20.48
2018/8/24,20.48,20.530001,20.26,20.379999
2018/8/27,20.379999,20.76,20.34,20.73
2018/8/28,20.75,20.809999,20.629999,20.690001
2018/8/29,20.66,20.709999,20.52,20.52
2018/8/30,20.32,20.6,20.02,20.219999
2018/8/31,20.200001,20.559999,20,20.360001
2018/9/3,20.42,20.59,20.15,20.530001
2018/9/4,20.540001,20.879999,20.530001,20.809999
2018/9/5,20.790001,20.950001,20.549999,20.639999
2018/9/6,20.639999,20.68,20.200001,20.299999
2018/9/7,20.299999,20.469999,20.09,20.200001
2018/9/10,20.18,20.280001,19.280001,19.32
2018/9/11,19.4,19.450001,18.91,19.129999
2018/9/12,19.190001,19.219999,19.040001,19.110001
2018/9/13,19.440001,19.440001,19.030001,19.27
2018/9/14,19.360001,19.459999,19.200001,19.290001
2018/9/17,19.209999,19.280001,18.4,18.43
2018/9/18,18.110001,18.690001,18.110001,18.6
2018/9/19,18.65,18.809999,18.5,18.790001
2018/9/20,18.77,18.870001,18.49,18.6
2018/9/21,18.690001,18.889999,18.379999,18.860001
2018/9/25,18.799999,18.969999,18.700001,18.82
2018/9/26,18.799999,18.99,18.719999,18.889999
2018/9/27,18.860001,18.870001,18.450001,18.450001
2018/9/28,18.51,18.709999,18.5,18.700001
2018/10/8,18.48,18.48,17.82,17.879999
